image,MEL,NV,BCC,AKIEC,BKL,DF,VASC
ISIC0034586,0.00046400249,0.11934884,5.938112E-05,4.4579865E-05,4.0735464E-05,3.4657613E-05,1.2538423E-05
ISIC0034587,4.809126E-07,0.13937855,2.512696E-07,3.1175625E-07,1.5857323E-07,5.373821E-07,1.9198264E-06
ISIC0034588,1.1442285E-09,1.758326E-10,1.300479E-09,5.6380383E-11,7.205352E-13,1.4794499E-11,1.2287767E-10
ISIC0034589,1.6487654E-06,0.06367449,6.9099538E-06,3.115416E-06,3.8851153E-06,5.270237E-06,2.3113453E-05
ISIC0034590,0.00054507115,0.00049021444,1.0499371E-05,2.2179243E-05,6.8091344E-06,1.1868194E-05,2.297533E-05
ISIC0034591,9.0647433E-13,1.9389315E-13,3.1869394E-12,2.3308779E-11,6.884912E-12,1.5553426E-12,9.921438E-13
ISIC0034592,3.0993965E-07,2.5368503E-05,3.1560208E-07,1.3909549E-07,1.330413E-06,3.5130947E-07,2.9084104E-06
ISIC0034593,0.00015959829,0.2302462,1.0070416E-05,6.2022395E-06,1.7495199E-06,7.884788E-06,4.535729E-06
ISIC0034594,3.064207E-08,0.401562,9.0453696E-08,4.1155236E-08,2.5339776E-08,1.048805E-07,4.4953558E-07
ISIC0034595,1.3515776E-07,2.7300604E-05,2.9601821E-07,1.513089E-07,8.278479E-07,4.957031E-07,2.4334201E-06
ISIC0034596,1.5480325E-08,1.0269331E-06,1.0457638E-09,1.01356E-09,6.01619E-08,3.857424E-09,1.8525897E-08
ISIC0034597,7.1780417E-09,6.62053E-10,3.8275768E-11,1.6016735E-10,3.8259838E-08,3.0023875E-10,3.097404E-10
ISIC0034598,4.126366E-10,9.873352E-10,3.4567685E-10,7.3934453E-10,4.1553148E-09,6.4054295E-10,4.2716994E-10
ISIC0034599,3.857286E-06,1.2129561E-06,7.070521E-08,1.6927491E-07,1.4932564E-06,8.3101135E-08,1.0435013E-07
ISIC0034600,1.15023495E-05,0.00050023594,2.9787537E-07,9.300858E-07,2.799591E-07,3.4852502E-07,2.2646418E-06
ISIC0034601,1.8219756E-05,0.0017514477,1.5963643E-06,3.0863787E-06,1.150671E-06,1.9460188E-06,1.2754481E-05
ISIC0034602,3.5529208E-09,4.3591637E-08,6.150875E-09,2.1073628E-08,2.4101018E-08,1.0610643E-08,3.9126804E-09
ISIC0034603,3.1637256E-08,0.000144168,9.444878E-10,2.0230306E-09,6.1823853E-09,1.7271881E-09,1.430094E-08
ISIC0034604,1.755833E-05,0.0005810784,1.1268911E-06,7.024033E-07,1.0543499E-05,1.073965E-06,3.8220164E-06
ISIC0034605,1.686391E-06,0.00020557632,5.8315145E-08,7.054478E-08,2.6306094E-07,3.9525943E-08,2.713604E-07
ISIC0034606,2.0064105E-07,8.1119914E-08,2.2106641E-07,2.7077976E-07,9.655345E-07,4.2948693E-07,5.4058233E-07
ISIC0034607,4.0722185E-08,0.017745016,9.9260994E-08,5.4576763E-08,7.7577646E-08,1.05573335E-07,7.222623E-07
ISIC0034608,9.898993E-07,0.0013674306,9.1038025E-08,7.588065E-08,1.0056336E-06,2.0290781E-07,6.292431E-07
ISIC0034609,0.00044656603,0.0030315595,2.9666153E-05,2.737579E-05,0.00013132663,2.1135447E-05,7.060371E-05
ISIC0034610,1.7356618E-07,0.05442639,6.0274125E-08,8.75748E-08,6.321772E-08,1.366219E-07,6.830082E-07
ISIC0034611,9.396143E-06,0.21654043,1.4195396E-06,1.8151229E-06,2.0748157E-06,2.174162E-06,3.1307663E-06
ISIC0034612,9.0499347E-10,1.337259E-09,3.1863806E-08,3.438496E-09,1.9405004E-09,4.5042237E-09,1.1135883E-08
ISIC0034613,0.00017176649,0.011721687,1.1573806E-05,1.2795647E-05,1.696907E-05,8.93471E-06,1.589576E-05
ISIC0034614,9.369286E-10,2.5241984E-09,7.95222E-09,1.5365131E-08,5.980709E-09,4.767482E-09,3.0567104E-09
ISIC0034615,0.002090196,0.00015208464,1.4161161E-05,3.6069177E-05,0.0005517766,3.0195648E-05,6.3835956E-05
ISIC0034616,3.8085968E-08,7.556684E-05,1.0332343E-07,9.499738E-08,1.8687271E-07,1.1320177E-07,1.617295E-07
ISIC0034617,1.3952429E-08,4.7857015E-06,2.5366844E-09,1.667032E-09,3.421351E-08,8.369411E-09,3.8164654E-08
ISIC0034618,5.627145E-11,1.2589124E-10,1.6615369E-09,6.5078637E-10,2.722985E-10,7.457774E-10,7.4192263E-10
ISIC0034619,2.0484798E-08,0.001676766,2.6591286E-08,1.28313395E-08,4.51832E-08,2.2383269E-08,2.3932404E-07
ISIC0034620,6.956523E-08,0.0029743523,1.1270395E-08,2.0471361E-08,1.7091418E-08,1.7324977E-08,2.6350486E-07
ISIC0034621,1.3164404E-06,8.757488E-06,1.7428537E-06,6.636492E-07,3.9573015E-06,3.6612892E-06,7.1779054E-06
ISIC0034622,2.0003597E-07,3.7415887E-07,2.0032053E-06,1.399272E-06,4.7890387E-07,5.713048E-07,5.801826E-07
ISIC0034623,2.8673486E-09,0.0012516201,4.6697095E-09,2.9581086E-09,5.8347496E-09,5.9819407E-09,8.7820354E-08
ISIC0034624,4.317606E-06,0.66620797,3.5634188E-05,1.1905285E-05,5.552285E-06,1.9677787E-05,5.812108E-05
ISIC0034625,7.875977E-09,1.927172E-07,7.666475E-09,1.9941345E-08,4.5146155E-08,1.2938515E-08,8.281487E-09
ISIC0034626,1.656218E-06,0.003276148,1.3637602E-07,2.9495527E-07,1.932699E-07,2.1051018E-07,1.8241536E-06
ISIC0034627,2.1153414E-11,7.821208E-11,2.0214791E-10,4.4136997E-10,5.8163543E-11,7.9824536E-11,7.806391E-12
ISIC0034628,0.00039481683,0.00020079174,1.2457901E-06,1.1640637E-06,4.72015E-06,6.550054E-07,8.613044E-07
ISIC0034629,3.6789917E-08,4.1811973E-06,2.4893326E-10,6.311886E-10,4.5091064E-09,3.3462E-10,6.1307173E-09
ISIC0034630,0.00013040197,4.7079855E-05,1.9318343E-06,2.929173E-06,7.182995E-07,2.3540642E-06,7.1303925E-06
ISIC0034631,3.6400888E-10,2.031455E-10,1.2968329E-09,2.2914148E-09,6.235698E-10,2.3585167E-10,2.3757761E-11
ISIC0034632,1.4012616E-09,2.8252862E-09,2.910676E-09,2.7110463E-09,7.887116E-09,2.90349E-09,6.5000267E-09
ISIC0034633,2.7982508E-06,4.0506397E-06,9.230743E-08,4.2367236E-07,1.3695551E-06,1.2932487E-07,7.212849E-08
ISIC0034634,2.8554146E-06,0.4524342,1.0260266E-06,8.852718E-07,4.5048236E-07,2.0465875E-06,2.3022162E-06
ISIC0034635,2.1715598E-08,3.672049E-06,6.0322424E-07,2.2453229E-07,9.113932E-08,2.6117664E-07,4.958038E-07
ISIC0034636,2.495673E-07,0.09706569,1.2861653E-07,1.3521333E-07,1.0336286E-07,2.0519803E-07,7.6932236E-07
ISIC0034637,1.451308E-11,3.1360782E-11,8.824676E-10,1.9486852E-10,5.102995E-11,1.0597244E-10,1.2158191E-10
ISIC0034638,7.660397E-06,3.985275E-08,7.817998E-08,1.992355E-08,4.0205306E-09,7.339079E-08,1.9045338E-08
ISIC0034639,3.3505128E-06,0.025842246,5.0609473E-05,8.3467085E-06,7.609989E-06,1.8985325E-05,0.00011033075
ISIC0034640,0.00012495028,0.7140201,3.880938E-05,2.8751281E-05,1.6313108E-05,6.304232E-05,3.1719923E-05
ISIC0034641,3.212279E-07,0.25866225,5.9125E-07,3.460239E-07,5.1014797E-07,3.658699E-07,6.8403943E-07
ISIC0034642,6.0217444E-09,3.4491784E-08,7.250502E-09,5.032699E-09,7.144894E-08,1.9033317E-08,5.8970485E-08
ISIC0034643,6.064799E-08,0.002854245,1.3230648E-08,1.7627602E-08,2.0445295E-08,1.9018803E-08,2.5112368E-07
ISIC0034644,2.829821E-06,0.00076195295,4.0388024E-08,1.0377849E-07,1.8185015E-06,9.765651E-08,8.463339E-08
ISIC0034645,4.4185108E-05,0.16962822,3.1061509E-06,2.4466E-06,9.762937E-07,3.2513829E-06,2.111539E-06
ISIC0034646,1.4129293E-11,1.03292696E-11,1.03849825E-10,1.5965951E-10,1.3498245E-11,9.373996E-12,2.158609E-12
ISIC0034648,1.3481868E-07,0.0055222423,2.2315533E-08,3.2668872E-08,4.5542443E-08,4.1518067E-08,4.2364246E-07
ISIC0034649,2.6504074E-06,0.785104,2.038918E-06,1.1792565E-06,6.871609E-07,2.8003383E-06,2.2132579E-06
ISIC0034650,0.00034783126,0.0011987134,6.111659E-06,9.640002E-06,0.00014020164,1.0799614E-05,1.1366806E-05
ISIC0034651,1.8156002E-12,4.467682E-12,3.8224115E-11,4.8921662E-11,7.2304662E-12,8.337897E-12,2.0961462E-12
ISIC0034652,2.7980426E-05,0.0009661576,5.863955E-06,5.9261893E-06,1.9812327E-05,4.463055E-06,1.8407414E-05
ISIC0034653,1.8025288E-07,0.1073581,1.4519324E-07,9.8024515E-08,2.8229937E-07,1.0619293E-07,2.6621817E-07
ISIC0034654,8.034551E-07,0.29765326,2.7356486E-07,2.655037E-07,3.1835657E-07,2.5846614E-07,1.4469852E-07
ISIC0034655,2.070388E-06,6.333859E-07,1.5005906E-08,3.906776E-08,3.3386696E-06,6.658935E-08,8.2661344E-08
ISIC0034656,5.0575233E-10,2.5016427E-09,8.3789615E-09,2.164116E-09,1.8239714E-09,3.907058E-09,1.1175588E-08
ISIC0034657,4.2781203E-08,0.00015706217,1.5897891E-09,3.092919E-09,4.3192037E-09,1.9015456E-09,2.551763E-08
ISIC0034658,0.0001594147,0.032318644,1.6142028E-05,2.5581438E-05,9.421831E-06,2.1465963E-05,5.6315206E-05
ISIC0034659,9.0642727E-10,3.78187E-09,3.9096648E-10,2.2742421E-09,6.935111E-09,1.4942378E-09,5.2781857E-10
ISIC0034660,2.7079992E-07,0.020477956,5.6947115E-08,8.647482E-08,5.6967863E-08,1.0076318E-07,7.1598106E-07
ISIC0034662,4.7061894E-06,0.043731295,2.3715772E-06,1.5050213E-06,3.6550584E-06,2.2860916E-06,8.58086E-06
ISIC0034663,7.464145E-05,0.00015573477,7.909421E-07,1.0542076E-06,2.9795467E-05,9.738657E-07,2.1602502E-06
ISIC0034664,7.737298E-08,0.0818012,3.99129E-09,2.7704077E-09,4.3342565E-09,2.9079568E-09,4.8730864E-10
ISIC0034665,7.0926016E-09,0.00024122934,4.1685774E-10,6.971938E-10,1.6839885E-09,5.4187843E-10,1.3881238E-08
ISIC0034666,6.564813E-10,4.608038E-10,5.666341E-10,3.3062822E-10,1.1745024E-08,6.1090413E-09,1.2514991E-08
ISIC0034667,4.483481E-09,3.0477113E-06,1.7439614E-09,2.884452E-09,2.7203145E-08,3.1755432E-09,1.1516047E-09
ISIC0034668,7.98221E-11,6.9234493E-06,3.259521E-10,6.6819404E-11,1.2406749E-09,1.8367165E-10,3.161498E-09
ISIC0034669,1.2806833E-09,5.9073657E-10,9.295138E-09,7.0673902E-09,5.930343E-09,5.002801E-09,6.888771E-09
ISIC0034670,1.2220931E-08,8.70433E-07,8.12133E-11,7.6791844E-11,5.666311E-09,1.1016111E-10,8.0593787E-10
ISIC0034671,9.170635E-07,0.38573462,1.5097105E-06,1.0161078E-06,7.334747E-07,1.9392528E-06,5.468729E-06
ISIC0034672,1.5663661E-09,6.835172E-05,1.6646946E-11,3.318094E-11,9.7860546E-11,1.2722604E-11,2.2355215E-10
ISIC0034674,5.476495E-06,0.0003864237,2.0205887E-06,2.457237E-06,5.2846913E-06,3.2898877E-06,2.1381806E-05
ISIC0034675,1.0806173E-06,0.00061130186,2.885593E-07,2.862422E-07,8.50297E-07,2.8707436E-07,2.5626334E-06
ISIC0034676,1.2610907E-06,0.10879527,3.834415E-07,4.623458E-07,3.7237368E-07,5.9950446E-07,1.5704089E-06
ISIC0034677,1.786525E-08,0.02429941,1.4851236E-08,7.367772E-09,4.7509992E-08,8.557612E-09,2.4578101E-08
ISIC0034678,2.1692193E-07,0.059150565,1.7465076E-07,1.5858942E-07,1.5952381E-07,2.2798008E-07,1.4051478E-06
ISIC0034679,5.494693E-12,1.20934955E-11,2.8568334E-10,1.008636E-10,2.1827935E-11,3.725805E-11,6.285393E-11
ISIC0034680,8.040358E-05,1.5672027E-06,8.1331603E-07,2.8030984E-06,0.00015807858,4.167181E-06,6.0895622E-06
ISIC0034681,1.6347042E-07,0.018183554,4.83981E-07,1.841885E-07,5.8842335E-07,2.4327213E-07,5.511781E-07
ISIC0034682,1.543043E-10,2.1999816E-10,5.761473E-09,8.1246193E-10,2.6788113E-10,8.063438E-10,9.907969E-10
ISIC0034683,1.0756706E-06,0.0011994821,7.024836E-06,3.1930965E-06,2.7753547E-06,3.8295834E-06,6.220211E-06
ISIC0034684,5.2937854E-09,7.6064625E-06,4.287075E-11,4.8887616E-11,6.366869E-09,1.15808446E-10,1.3141126E-10
ISIC0034685,1.02945985E-10,2.6722867E-12,3.7788446E-11,9.813367E-10,9.483236E-10,1.717614E-10,2.023979E-10
ISIC0034686,5.0545246E-10,2.7487449E-08,2.9507943E-09,1.645751E-09,6.3445875E-09,2.2125817E-09,9.705686E-09
ISIC0034687,1.656038E-07,4.437843E-07,7.891882E-10,1.1859758E-09,3.1095635E-07,2.750002E-09,4.568946E-09
ISIC0034689,8.7929857E-07,0.7140411,1.1413211E-06,9.539754E-07,4.56728E-07,1.2758829E-06,1.7338898E-06
ISIC0034690,0.0011567931,0.27433342,0.0007720577,0.0005593043,0.000786255,0.0006038475,0.00037002924
ISIC0034691,9.218203E-11,4.519895E-09,2.386318E-10,1.5232143E-10,1.4764548E-09,4.562421E-10,2.8431852E-09
ISIC0034692,8.428563E-11,2.1107399E-10,5.5955662E-09,1.0256347E-09,2.4994332E-10,7.028242E-10,1.2115026E-09
ISIC0034693,1.5169345E-10,1.2599069E-10,7.551443E-10,1.3925172E-09,2.6932948E-10,1.6188977E-10,7.466481E-11
ISIC0034694,2.4141386E-10,7.585334E-11,2.3644813E-09,7.981894E-10,6.6862277E-10,7.3180767E-10,1.8213537E-09
ISIC0034695,7.4564923E-07,6.48533E-07,2.0632413E-06,7.076821E-07,3.4729583E-06,2.297542E-06,4.244677E-06
ISIC0034696,4.443036E-06,0.81466186,9.59317E-07,3.9930973E-07,3.171305E-07,6.9880997E-07,1.9208875E-07
ISIC0034697,0.0009733778,0.00023888859,1.692056E-05,2.9969358E-05,1.1501757E-05,3.808371E-05,0.0002082908
ISIC0034698,3.5739788E-08,6.7597675E-06,6.502032E-07,2.9334507E-07,1.3919714E-07,2.2747427E-07,7.19347E-07
ISIC0034699,4.9933796E-10,1.12903506E-10,1.6475287E-09,6.624901E-10,2.1847866E-09,1.8399291E-09,2.6398181E-09
ISIC0034700,1.4339965E-06,0.44539857,6.3793004E-07,5.967175E-07,3.9180114E-07,1.1459947E-06,1.421058E-06
ISIC0034701,4.0969535E-08,8.256198E-07,2.1075324E-07,8.251721E-08,2.2898132E-07,1.5723886E-07,2.3416948E-07
ISIC0034702,1.1139255E-09,9.8155644E-05,1.702596E-11,2.4535908E-11,8.6262564E-10,9.249412E-11,1.0398327E-09
ISIC0034703,3.9824783E-08,0.043931898,2.8279619E-08,3.9246633E-08,1.787309E-08,8.2785995E-08,6.963372E-07
ISIC0034704,4.3385658E-06,0.5561339,2.094236E-06,2.0010689E-06,8.2312295E-07,3.700524E-06,3.4410907E-06
ISIC0034705,1.3558112E-06,1.709968E-05,3.094517E-05,5.479629E-06,2.6790676E-06,6.9132366E-06,1.2623501E-05
ISIC0034706,1.6122886E-09,1.6143041E-09,1.0927939E-11,7.1787055E-11,7.92548E-09,5.0906585E-11,3.673279E-11
ISIC0034707,3.4590482E-07,0.083626784,5.5625595E-08,7.627942E-08,5.850733E-08,1.2841898E-07,3.063188E-07
ISIC0034708,1.6948388E-08,9.712613E-07,4.1892335E-08,5.6873297E-08,8.299104E-08,3.676137E-08,5.8454674E-08
ISIC0034709,4.85225E-05,0.032026276,3.0786414E-06,1.5635035E-06,3.1105055E-06,8.875364E-07,1.3149008E-06
ISIC0034710,5.383678E-09,9.756542E-09,1.244782E-10,1.307355E-10,5.3444648E-08,5.2086596E-10,1.7692435E-09
ISIC0034711,6.2127885E-09,4.4070037E-10,1.8345536E-09,5.146517E-09,7.614539E-08,1.1292063E-08,1.1377784E-08
ISIC0034712,1.312826E-12,1.184975E-11,5.1460895E-11,2.3048166E-11,3.233609E-12,2.8129259E-12,4.6432623E-12
ISIC0034713,0.0019757347,0.0046489784,2.9417557E-05,3.6559577E-05,6.8893587E-06,3.7837326E-05,2.7730697E-05
ISIC0034714,3.6407034E-08,1.5424297E-08,5.1983633E-08,1.532517E-07,1.4771744E-07,7.074568E-08,3.7135933E-08
ISIC0034715,8.3796107E-07,0.006795803,1.4573621E-07,2.4234126E-07,1.4183985E-07,1.8229174E-07,1.7620263E-06
ISIC0034716,7.2953675E-08,0.00046361913,4.7326083E-07,1.8406749E-07,3.836288E-07,2.1698608E-07,5.899253E-07
ISIC0034717,1.0574741E-08,1.7255589E-08,1.5522922E-07,3.5112684E-08,2.6840514E-08,3.9695255E-08,8.99424E-08
ISIC0034718,0.00018838802,0.0001799614,5.00016E-06,1.1208654E-05,4.3570835E-06,3.925214E-06,1.9216828E-05
ISIC0034720,7.020817E-06,2.4525432E-06,7.83459E-06,6.8662116E-06,2.2039852E-05,1.4023504E-05,1.8150093E-05
ISIC0034721,8.686843E-06,0.81858784,5.6856225E-06,3.2120968E-06,2.1145738E-06,4.249448E-06,2.0252166E-06
ISIC0034722,1.06230196E-07,0.018871434,9.554085E-07,2.8164726E-07,3.4402598E-07,5.635224E-07,4.832099E-06
ISIC0034723,1.6066463E-09,1.5160088E-10,6.225573E-10,7.8764234E-10,4.7435837E-08,7.998205E-09,8.4948555E-09
ISIC0034724,2.9461202E-07,4.04274E-06,1.4950703E-09,2.9163052E-09,1.1723673E-08,1.1189746E-09,1.7082163E-08
ISIC0034725,8.3665486E-10,3.7787633E-12,1.673159E-11,1.2795138E-09,4.6781516E-09,2.0491069E-10,2.4708605E-10
ISIC0034726,1.7080785E-07,0.018331299,9.1263864E-08,1.09311074E-07,1.07218895E-07,1.3491321E-07,1.2080129E-06
ISIC0034727,2.0039333E-06,7.4588446E-05,6.974858E-08,2.1486099E-07,1.8718806E-07,1.13275746E-07,1.2179543E-06
ISIC0034728,0.00071049563,0.00019039771,1.5770074E-05,1.7951854E-05,2.6461416E-06,1.4853347E-05,3.971358E-05
ISIC0034729,3.4901557E-08,0.30786034,1.14380946E-07,5.7415328E-08,4.824795E-08,1.06462245E-07,3.7708446E-07
ISIC0034730,0.004324066,0.09337733,0.008836302,0.0059098783,0.004235308,0.004450828,0.006070119
ISIC0034731,2.6048714E-09,2.6156204E-09,4.056977E-08,1.23014505E-08,8.569241E-09,9.287534E-09,1.552915E-08
ISIC0034732,1.1185375E-05,1.621397E-05,1.893043E-07,5.547086E-07,2.5152994E-07,2.3651101E-07,1.8793608E-06
ISIC0034733,1.3475225E-06,1.6962849E-07,1.8374463E-09,8.235428E-09,1.8190914E-06,1.1908247E-08,1.9954546E-08
ISIC0034734,0.0014637999,0.013636918,0.0011383981,0.001062364,0.0010279611,0.0012122645,0.0043009743
ISIC0034735,2.1184647E-09,1.643534E-08,7.3081208E-09,1.4688016E-08,1.4483459E-08,1.6745087E-08,7.0279507E-09
ISIC0034736,3.725397E-05,0.00033136233,1.0328682E-05,1.5094085E-05,2.3482891E-05,1.7063678E-05,5.9626764E-05
ISIC0034737,1.5111603E-08,1.6237982E-06,1.7544853E-08,1.0972944E-08,1.3049689E-07,3.7499294E-08,2.7374338E-07
ISIC0034738,2.4852506E-08,0.26994154,3.89205E-08,2.9105385E-08,1.4139937E-08,6.409628E-08,2.4051496E-07
ISIC0034739,5.3505103E-09,3.3873657E-05,3.79776E-08,8.857074E-09,2.401791E-08,4.591137E-08,7.004039E-07
